client_id,round_number,hierarchy,num_samples,set,accuracy,loss
f2333_98,1,,168,train,0.07947019867549669,3.5492238998413086
f2339_76,1,,176,train,0.06962025316455696,3.570560932159424
f2365_62,1,,166,train,0.08053691275167785,3.579396963119507
f2369_56,1,,178,train,0.075,3.625962018966675
f2370_67,1,,177,train,0.08176100628930817,3.613203763961792
f2381_54,1,,155,train,0.09352517985611511,3.592017412185669
f2388_79,1,,174,train,0.07051282051282051,3.609400749206543
f2393_90,1,,177,train,0.06289308176100629,3.628209114074707
f2417_81,1,,173,train,0.06451612903225806,3.655895709991455
f2486_95,1,,150,train,0.07407407407407407,3.6587159633636475
f2502_59,1,,32,train,0.07142857142857142,3.1802775859832764
f2512_54,1,,176,train,0.06962025316455696,3.5590298175811768
f2527_72,1,,143,train,0.078125,3.73195219039917
